Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount,Timestamp,Year,Month,Day,DayOfWeek,IsWeekend,Quarter,food_per_guest_ratio
Meat,320,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,2024-04-13 14:12:14.693877504,2024,4,13,5,1,2,1.25
Meat,320,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,20,2024-04-13 20:04:53.877551104,2024,4,13,5,1,2,1.25
Vegetables,220,Wedding,300,Refrigerated,Occasional,Summer,Finger Food,Rural,Moderate,15,2024-04-14 01:57:33.061224448,2024,4,14,6,1,2,1.3636363636363635
Baked Goods,302,Corporate,371,Room Temperature,Occasional,Winter,Buffet,Suburban,Low,27,2024-04-14 07:50:12.244898048,2024,4,14,6,1,2,1.228476821192053
Vegetables,250,Social Gathering,350,Refrigerated,Regular,Summer,Buffet,Rural,Moderate,20,2024-04-14 13:42:51.428571392,2024,4,14,6,1,2,1.4
Baked Goods,267,Wedding,393,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,24,2024-04-14 19:35:30.612244992,2024,4,14,6,1,2,1.4719101123595506
Vegetables,400,Social Gathering,500,Room Temperature,Regular,Summer,Buffet,Rural,High,30,2024-04-15 07:20:48.979591936,2024,4,15,0,0,2,1.25
Meat,300,Wedding,400,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,15,2024-04-15 13:13:28.163265280,2024,4,15,0,0,2,1.3333333333333333
Baked Goods,220,Wedding,300,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15,2024-04-15 19:06:07.346938880,2024,4,15,0,0,2,1.3636363636363635
Fruits,280,Social Gathering,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,20,2024-04-16 06:51:25.714285824,2024,4,16,1,0,2,1.25
Dairy Products,290,Corporate,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,2024-04-16 12:44:04.897959168,2024,4,16,1,0,2,1.289655172413793
Meat,438,Corporate,493,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,35,2024-04-16 18:36:44.081632768,2024,4,16,1,0,2,1.1255707762557077
Baked Goods,350,Birthday,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,45,2024-04-17 00:29:23.265306112,2024,4,17,2,0,2,1.2857142857142858
Vegetables,300,Corporate,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35,2024-04-17 06:22:02.448979712,2024,4,17,2,0,2,1.5
Baked Goods,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15,2024-04-17 12:14:41.632653056,2024,4,17,2,0,2,1.3333333333333333
Dairy Products,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35,2024-04-17 18:07:20.816326656,2024,4,17,2,0,2,1.3333333333333333
Fruits,267,Social Gathering,393,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,24,2024-04-18 00:00:00.000000000,2024,4,18,3,0,2,1.4719101123595506
Fruits,300,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,2024-04-18 05:52:39.183673344,2024,4,18,3,0,2,1.3333333333333333
Meat,342,Social Gathering,405,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,29,2024-04-18 11:45:18.367346944,2024,4,18,3,0,2,1.1842105263157894
Fruits,350,Birthday,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,2024-04-18 17:37:57.551020288,2024,4,18,3,0,2,1.2857142857142858
Fruits,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,40,2024-04-18 23:30:36.734693888,2024,4,18,3,0,2,1.25
Vegetables,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2024-04-19 05:23:15.918367232,2024,4,19,4,0,2,1.3636363636363635
Vegetables,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,2024-04-19 11:15:55.102040832,2024,4,19,4,0,2,1.25
Fruits,250,Wedding,350,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,20,2024-04-19 23:01:13.469387776,2024,4,19,4,0,2,1.4
Meat,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-04-20 04:53:52.653061120,2024,4,20,5,1,2,1.2857142857142858
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,2024-04-20 10:46:31.836734720,2024,4,20,5,1,2,1.3636363636363635
Baked Goods,380,Social Gathering,480,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,30,2024-04-20 16:39:11.020408064,2024,4,20,5,1,2,1.263157894736842
Vegetables,250,Wedding,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20,2024-04-20 22:31:50.204081664,2024,4,20,5,1,2,1.4
Dairy Products,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50,2024-04-21 04:24:29.387755008,2024,4,21,6,1,2,1.25
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50,2024-04-21 16:09:47.755101952,2024,4,21,6,1,2,1.25
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,20,2024-04-22 03:55:06.122448896,2024,4,22,0,0,2,1.4
Dairy Products,380,Social Gathering,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,2024-04-22 15:40:24.489795840,2024,4,22,0,0,2,1.263157894736842
Baked Goods,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-04-22 21:33:03.673469440,2024,4,22,0,0,2,1.3157894736842106
Dairy Products,250,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,2024-04-23 03:25:42.857142784,2024,4,23,1,0,2,1.4
Vegetables,220,Social Gathering,300,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,15,2024-04-23 09:18:22.040816384,2024,4,23,1,0,2,1.3636363636363635
Fruits,270,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,2024-04-23 15:11:01.224489728,2024,4,23,1,0,2,1.4814814814814814
Dairy Products,280,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,24,2024-04-23 21:03:40.408163328,2024,4,23,1,0,2,1.4285714285714286
Baked Goods,208,Social Gathering,282,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,22,2024-04-24 02:56:19.591836672,2024,4,24,2,0,2,1.3557692307692308
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,2024-04-24 08:48:58.775510272,2024,4,24,2,0,2,1.25
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30,2024-04-24 14:41:37.959183616,2024,4,24,2,0,2,1.3333333333333333
Dairy Products,310,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35,2024-04-24 20:34:17.142857216,2024,4,24,2,0,2,1.1290322580645162
Baked Goods,434,Social Gathering,495,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,36,2024-04-25 08:19:35.510204160,2024,4,25,3,0,2,1.140552995391705
Meat,250,Wedding,350,Refrigerated,Regular,Summer,Buffet,Urban,Low,10,2024-04-25 20:04:53.877551104,2024,4,25,3,0,2,1.4
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,2024-04-26 07:50:12.244898048,2024,4,26,4,0,2,1.25
Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,20,2024-04-26 13:42:51.428571392,2024,4,26,4,0,2,1.3333333333333333
Meat,400,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45,2024-04-26 19:35:30.612244992,2024,4,26,4,0,2,1.25
Meat,300,Corporate,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40,2024-04-27 01:28:09.795918336,2024,4,27,5,1,2,1.3333333333333333
Fruits,310,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Urban,High,35,2024-04-27 07:20:48.979591936,2024,4,27,5,1,2,1.1290322580645162
Meat,207,Corporate,280,Room Temperature,Regular,Summer,Finger Food,Suburban,High,20,2024-04-27 19:06:07.346938880,2024,4,27,5,1,2,1.3526570048309179
Fruits,380,Wedding,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,High,35,2024-04-28 00:58:46.530612224,2024,4,28,6,1,2,1.3157894736842106
Meat,302,Social Gathering,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,2024-04-28 06:51:25.714285824,2024,4,28,6,1,2,1.228476821192053
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,2024-04-28 12:44:04.897959168,2024,4,28,6,1,2,1.4
Baked Goods,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15,2024-04-28 18:36:44.081632768,2024,4,28,6,1,2,1.25
Vegetables,350,Birthday,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35,2024-04-29 00:29:23.265306112,2024,4,29,0,0,2,1.2857142857142858
Fruits,220,Wedding,300,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,15,2024-04-29 06:22:02.448979712,2024,4,29,0,0,2,1.3636363636363635
Vegetables,300,Birthday,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Low,15,2024-04-29 12:14:41.632653056,2024,4,29,0,0,2,1.3333333333333333
Meat,300,Social Gathering,450,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35,2024-04-29 18:07:20.816326656,2024,4,29,0,0,2,1.5
Fruits,250,Corporate,350,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,20,2024-04-30 00:00:00.000000000,2024,4,30,1,0,2,1.4
Vegetables,350,Wedding,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,2024-04-30 05:52:39.183673344,2024,4,30,1,0,2,1.2857142857142858
Fruits,442,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,32,2024-04-30 11:45:18.367346944,2024,4,30,1,0,2,1.090497737556561
Fruits,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,2024-04-30 17:37:57.551020288,2024,4,30,1,0,2,1.2857142857142858
Baked Goods,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,20,2024-04-30 23:30:36.734693888,2024,4,30,1,0,2,1.3333333333333333
Dairy Products,310,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,2024-05-01 05:23:15.918367232,2024,5,1,2,0,2,1.1290322580645162
Baked Goods,275,Wedding,388,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,16,2024-05-01 11:15:55.102040832,2024,5,1,2,0,2,1.410909090909091
Fruits,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,2024-05-01 17:08:34.285714176,2024,5,1,2,0,2,1.1290322580645162
Baked Goods,220,Birthday,300,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15,2024-05-01 23:01:13.469387776,2024,5,1,2,0,2,1.3636363636363635
Dairy Products,380,Wedding,480,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,30,2024-05-02 04:53:52.653061120,2024,5,2,3,0,2,1.263157894736842
Dairy Products,250,Birthday,350,Room Temperature,Occasional,Winter,Buffet,Rural,Moderate,20,2024-05-02 16:39:11.020408064,2024,5,2,3,0,2,1.4
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40,2024-05-02 22:31:50.204081664,2024,5,2,3,0,2,1.4
Fruits,220,Corporate,300,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,20,2024-05-03 04:24:29.387755008,2024,5,3,4,0,2,1.3636363636363635
Fruits,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,2024-05-03 10:17:08.571428608,2024,5,3,4,0,2,1.25
Fruits,300,Corporate,400,Room Temperature,Occasional,All Seasons,Finger Food,Rural,Moderate,25,2024-05-03 16:09:47.755101952,2024,5,3,4,0,2,1.3333333333333333
Baked Goods,250,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,2024-05-03 22:02:26.938775552,2024,5,3,4,0,2,1.4
Meat,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2024-05-04 03:55:06.122448896,2024,5,4,5,1,2,1.3333333333333333
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,2024-05-04 09:47:45.306122496,2024,5,4,5,1,2,1.25
Meat,208,Social Gathering,282,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,22,2024-05-04 15:40:24.489795840,2024,5,4,5,1,2,1.3557692307692308
Baked Goods,438,Corporate,493,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,35,2024-05-04 21:33:03.673469440,2024,5,4,5,1,2,1.1255707762557077
Vegetables,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,2024-05-05 03:25:42.857142784,2024,5,5,6,1,2,1.25
Baked Goods,207,Corporate,280,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,20,2024-05-05 09:18:22.040816384,2024,5,5,6,1,2,1.3526570048309179
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15,2024-05-05 21:03:40.408163328,2024,5,5,6,1,2,1.3333333333333333
Vegetables,280,Corporate,350,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,20,2024-05-06 02:56:19.591836672,2024,5,6,0,0,2,1.25
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,2024-05-06 14:41:37.959183616,2024,5,6,0,0,2,1.4
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20,2024-05-06 20:34:17.142857216,2024,5,6,0,0,2,1.4
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,2024-05-07 02:26:56.326530560,2024,5,7,1,0,2,1.4
Baked Goods,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,2024-05-07 08:19:35.510204160,2024,5,7,1,0,2,1.3636363636363635
Vegetables,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Moderate,20,2024-05-07 14:12:14.693877504,2024,5,7,1,0,2,1.4
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,29,2024-05-07 20:04:53.877551104,2024,5,7,1,0,2,1.1842105263157894
Vegetables,400,Corporate,500,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50,2024-05-08 01:57:33.061224448,2024,5,8,2,0,2,1.25
Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,2024-05-08 07:50:12.244898048,2024,5,8,2,0,2,1.3333333333333333
Dairy Products,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-05-08 19:35:30.612244992,2024,5,8,2,0,2,1.3157894736842106
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,2024-05-09 01:28:09.795918336,2024,5,9,3,0,2,1.3333333333333333
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25,2024-05-09 13:13:28.163265280,2024,5,9,3,0,2,1.3333333333333333
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Buffet,Suburban,High,40,2024-05-09 19:06:07.346938880,2024,5,9,3,0,2,1.3333333333333333
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20,2024-05-10 00:58:46.530612224,2024,5,10,4,0,2,1.3333333333333333
Meat,302,Wedding,371,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,27,2024-05-10 06:51:25.714285824,2024,5,10,4,0,2,1.228476821192053
Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Buffet,Suburban,High,40,2024-05-10 18:36:44.081632768,2024,5,10,4,0,2,1.3333333333333333
Vegetables,250,Wedding,350,Refrigerated,Regular,Winter,Buffet,Suburban,Low,10,2024-05-11 00:29:23.265306112,2024,5,11,5,1,2,1.4
Meat,290,Corporate,374,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,27,2024-05-11 06:22:02.448979712,2024,5,11,5,1,2,1.289655172413793
Meat,434,Corporate,495,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,36,2024-05-11 12:14:41.632653056,2024,5,11,5,1,2,1.140552995391705
Fruits,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Urban,Low,15,2024-05-11 18:07:20.816326656,2024,5,11,5,1,2,1.25
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45,2024-05-12 00:00:00.000000000,2024,5,12,6,1,2,1.25
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-05-12 05:52:39.183673344,2024,5,12,6,1,2,1.2857142857142858
Meat,250,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Suburban,High,30,2024-05-12 11:45:18.367346944,2024,5,12,6,1,2,1.4
Vegetables,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,35,2024-05-12 17:37:57.551020288,2024,5,12,6,1,2,1.2857142857142858
Vegetables,280,Wedding,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20,2024-05-12 23:30:36.734693888,2024,5,12,6,1,2,1.25
Fruits,302,Corporate,371,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,22,2024-05-13 05:23:15.918367232,2024,5,13,0,0,2,1.228476821192053
Meat,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,2024-05-13 11:15:55.102040832,2024,5,13,0,0,2,1.4
Meat,280,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20,2024-05-13 17:08:34.285714176,2024,5,13,0,0,2,1.25
Meat,320,Birthday,400,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30,2024-05-13 23:01:13.469387776,2024,5,13,0,0,2,1.25
Fruits,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,2024-05-14 04:53:52.653061120,2024,5,14,1,0,2,1.4
Meat,380,Birthday,480,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,30,2024-05-14 10:46:31.836734720,2024,5,14,1,0,2,1.263157894736842
Meat,380,Corporate,480,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,30,2024-05-14 16:39:11.020408064,2024,5,14,1,0,2,1.263157894736842
Meat,280,Corporate,350,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,20,2024-05-14 22:31:50.204081664,2024,5,14,1,0,2,1.25
Vegetables,434,Corporate,495,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,36,2024-05-15 04:24:29.387755008,2024,5,15,2,0,2,1.140552995391705
Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20,2024-05-15 10:17:08.571428608,2024,5,15,2,0,2,1.4
Vegetables,320,Social Gathering,480,Refrigerated,Occasional,Winter,Buffet,Rural,High,40,2024-05-15 16:09:47.755101952,2024,5,15,2,0,2,1.5
Baked Goods,442,Wedding,482,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,32,2024-05-15 22:02:26.938775552,2024,5,15,2,0,2,1.090497737556561
Vegetables,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,2024-05-16 03:55:06.122448896,2024,5,16,3,0,2,1.3333333333333333
Vegetables,280,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,2024-05-16 09:47:45.306122496,2024,5,16,3,0,2,1.25
Baked Goods,380,Birthday,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,2024-05-16 15:40:24.489795840,2024,5,16,3,0,2,1.263157894736842
Vegetables,320,Corporate,400,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,2024-05-17 03:25:42.857142784,2024,5,17,4,0,2,1.25
Meat,261,Wedding,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,24,2024-05-17 09:18:22.040816384,2024,5,17,4,0,2,1.3409961685823755
Fruits,300,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,15,2024-05-17 15:11:01.224489728,2024,5,17,4,0,2,1.3333333333333333
Vegetables,400,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,25,2024-05-17 21:03:40.408163328,2024,5,17,4,0,2,1.25
Fruits,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,15,2024-05-18 02:56:19.591836672,2024,5,18,5,1,2,1.3636363636363635
Baked Goods,400,Birthday,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,40,2024-05-18 08:48:58.775510272,2024,5,18,5,1,2,1.25
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,2024-05-18 14:41:37.959183616,2024,5,18,5,1,2,1.25
Baked Goods,300,Wedding,400,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,Low,20,2024-05-19 08:19:35.510204160,2024,5,19,6,1,2,1.3333333333333333
Fruits,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,2024-05-19 14:12:14.693877504,2024,5,19,6,1,2,1.25
Fruits,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,2024-05-19 20:04:53.877551104,2024,5,19,6,1,2,1.289655172413793
Fruits,320,Birthday,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,2024-05-20 01:57:33.061224448,2024,5,20,0,0,2,1.25
Fruits,261,Birthday,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23,2024-05-20 07:50:12.244898048,2024,5,20,0,0,2,1.3409961685823755
Baked Goods,350,Birthday,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-05-20 13:42:51.428571392,2024,5,20,0,0,2,1.2857142857142858
Baked Goods,270,Birthday,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,2024-05-20 19:35:30.612244992,2024,5,20,0,0,2,1.4814814814814814
Vegetables,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,2024-05-21 01:28:09.795918336,2024,5,21,1,0,2,1.25
Baked Goods,380,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,2024-05-21 07:20:48.979591936,2024,5,21,1,0,2,1.3157894736842106
Vegetables,397,Corporate,482,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,31,2024-05-21 13:13:28.163265280,2024,5,21,1,0,2,1.2141057934508817
Dairy Products,350,Wedding,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30,2024-05-21 19:06:07.346938880,2024,5,21,1,0,2,1.2857142857142858
Dairy Products,220,Birthday,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2024-05-22 00:58:46.530612224,2024,5,22,2,0,2,1.3636363636363635
Vegetables,250,Birthday,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20,2024-05-22 06:51:25.714285824,2024,5,22,2,0,2,1.4
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15,2024-05-22 12:44:04.897959168,2024,5,22,2,0,2,1.3636363636363635
Meat,267,Wedding,393,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,24,2024-05-22 18:36:44.081632768,2024,5,22,2,0,2,1.4719101123595506
Meat,280,Wedding,350,Refrigerated,Regular,All Seasons,Finger Food,Urban,Low,20,2024-05-23 00:29:23.265306112,2024,5,23,3,0,2,1.25
Fruits,220,Corporate,300,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,15,2024-05-23 06:22:02.448979712,2024,5,23,3,0,2,1.3636363636363635
Vegetables,280,Birthday,350,Refrigerated,Regular,Winter,Finger Food,Rural,Low,20,2024-05-23 12:14:41.632653056,2024,5,23,3,0,2,1.25
Vegetables,250,Corporate,350,Refrigerated,Regular,Winter,Finger Food,Rural,High,30,2024-05-23 18:07:20.816326656,2024,5,23,3,0,2,1.4
Baked Goods,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,2024-05-24 00:00:00.000000000,2024,5,24,4,0,2,1.25
Dairy Products,300,Social Gathering,450,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35,2024-05-24 05:52:39.183673344,2024,5,24,4,0,2,1.5
Fruits,300,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,2024-05-24 11:45:18.367346944,2024,5,24,4,0,2,1.3333333333333333
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,2024-05-24 23:30:36.734693888,2024,5,24,4,0,2,1.25
Fruits,220,Wedding,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,15,2024-05-25 05:23:15.918367232,2024,5,25,5,1,2,1.3636363636363635
Dairy Products,367,Birthday,420,Room Temperature,Regular,Winter,Buffet,Urban,Low,40,2024-05-25 11:15:55.102040832,2024,5,25,5,1,2,1.1444141689373297
Vegetables,220,Birthday,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,2024-05-25 17:08:34.285714176,2024,5,25,5,1,2,1.3636363636363635
Fruits,300,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,2024-05-25 23:01:13.469387776,2024,5,25,5,1,2,1.3333333333333333
Vegetables,250,Corporate,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35,2024-05-26 04:53:52.653061120,2024,5,26,6,1,2,1.4
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,2024-05-26 10:46:31.836734720,2024,5,26,6,1,2,1.25
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,2024-05-26 16:39:11.020408064,2024,5,26,6,1,2,1.3333333333333333
Dairy Products,300,Corporate,400,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Moderate,25,2024-05-27 04:24:29.387755008,2024,5,27,0,0,2,1.3333333333333333
Vegetables,220,Corporate,300,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,15,2024-05-27 16:09:47.755101952,2024,5,27,0,0,2,1.3636363636363635
Meat,220,Birthday,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2024-05-27 22:02:26.938775552,2024,5,27,0,0,2,1.3636363636363635
Baked Goods,280,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,2024-05-28 03:55:06.122448896,2024,5,28,1,0,2,1.25
Meat,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,2024-05-28 09:47:45.306122496,2024,5,28,1,0,2,1.3636363636363635
